"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SYCP2",2293.23387193444,-4.83082911281268,0.215169752046961,-22.4512463617951,1.24433604268038e-111,2.18990700151319e-107
"CDKN2A",742.026207684528,-4.7920371312403,0.228863785980948,-20.9383809268943,2.39459182430404e-97,2.10712107579634e-93
"SMC1B",521.903938845177,-5.54924122953278,0.268450619308884,-20.6713668376668,6.27148271780082e-95,3.67906081168588e-91
"DSG2",3708.06052348473,-3.04992551753618,0.17573880016864,-17.3548784594492,1.81183480219578e-67,7.97162017096088e-64
"COL4A5",1131.41060597952,-3.30795129278401,0.220824983175842,-14.9799685036086,9.92640700785046e-51,3.49389673862321e-47
"RBBP8",2550.53291964531,-1.962921543781,0.133791257967205,-14.6715231892218,9.81174872092274e-49,2.87794942899199e-45
"E2F7",661.500933372842,-2.59269528599278,0.177671343922588,-14.5926474621728,3.1281856927223e-48,7.86470571517425e-45
"RIBC2",101.856714556779,-3.12206018207436,0.221549889180987,-14.0919058619971,4.25910058389049e-45,9.3694888969861e-42
"MEST",532.314512527465,-2.1018197214153,0.14961670577701,-14.0480283301242,7.92087140019496e-45,1.54888239746701e-41
"POSTN",10109.3768192715,-6.04655448546552,0.443312509797913,-13.6394853558766,2.33200478102684e-42,4.10409521412914e-39
"NPNT",1844.316642674,-2.87366306384924,0.212932794228447,-13.4956340297972,1.65921596302184e-41,2.65459470302013e-38
"MYO10",1713.82432077172,-2.00197473115191,0.14965601737694,-13.3771749792694,8.22131491258829e-41,1.20572434288868e-37
"BTG3",780.536539703655,-1.8084814011727,0.135502655015943,-13.3464646944366,1.24205053302917e-40,1.68144979467542e-37
"LOX",976.217105181647,-3.40334514341669,0.259481237527667,-13.1159585018312,2.66787699665764e-39,3.35371194744127e-36
"PLOD2",2351.87436942123,-2.49156563197523,0.191067013525252,-13.0402709813954,7.21999803798476e-39,8.47098303136626e-36
"MORC4",1029.99448262709,-1.63761770741066,0.126529365152028,-12.94259008921,2.58756285375958e-38,2.84615741645718e-35
"COL1A1",20868.3752924513,-4.42520405626051,0.342711263123778,-12.9123391391495,3.83472371058283e-38,3.96984132838513e-35
"LAMC2",6122.01872064405,-3.27969356994533,0.257291875259183,-12.746976820164,3.2407068444843e-37,3.16851109755996e-34
"ANLN",2377.67979069084,-1.66354817996637,0.132167658311396,-12.5866509342773,2.50059518599968e-36,2.31620919360044e-33
"TCP11",67.4383424805409,-4.96187933634933,0.394671439084646,-12.572177373304,3.00336752707085e-36,2.642813255446e-33
"FAT1",12772.6267648152,-2.20513879903654,0.176076074796954,-12.5237844015971,5.53326130460722e-36,4.6371364618944e-33
"TPBG",745.973808913503,-1.60317395058144,0.12895674580609,-12.4318734980495,1.75473014329251e-35,1.40370435417295e-32
"ZNF541",126.99742218637,-4.55677185041589,0.367004463835076,-12.4161210542213,2.13672735336082e-35,1.63496803007814e-32
"MDK",1028.37870676931,-2.49051477077169,0.200678871439929,-12.4104483591199,2.29364763005299e-35,1.68191269338761e-32
"DMRTA2",102.786423861663,-5.59847463180632,0.452063140277431,-12.3842758521974,3.17941737511389e-35,2.23818265538518e-32
"KRT8",3115.84467142315,-3.3596694582945,0.272579425316753,-12.3254697392893,6.60574254401082e-35,4.47132550123255e-32
"ECT2",3040.17136907815,-2.20098968696421,0.179672304822429,-12.2500220005496,1.67950353560422e-34,1.09472528604069e-31
"SIX4",448.434743968439,-3.04273832149021,0.249098696686245,-12.2149909331831,2.58530297540838e-34,1.62495525229329e-31
"MLF1",529.103880624597,-2.65419300676795,0.220048815000262,-12.0618373098932,1.67992879934503e-33,1.01948506688528e-30
"NRIP3",329.617452964457,-2.90160346231403,0.240991068058171,-12.0402946287355,2.18175039609262e-33,1.27988750736113e-30
"RANBP17",506.916823150641,-2.64068120688135,0.219844021760588,-12.0116125320754,3.08764965547924e-33,1.7528885898961e-30
"CEP70",883.304745562504,-1.62141469251345,0.135018427001417,-12.0088400414888,3.19292096411598e-33,1.75600675148366e-30
