ADH1B,ALX1,APOBEC3B,ARG1,ASTN2,BNC1,BOLL,CDH3,CHST8,CLGN,CNFN,COL1A1,COL21A1,COL3A1,COL5A2,CRTAC1,CXCL3,DLGAP1,DSG2,ECT2,ERC2,F10,FAT1,GAD1,GAST,GDF7,GFRA2,GREM1,HBA1,HOXC11,HOXD11,HSF2BP,HSFY2,HTRA3,IDO1,ITPKA,KCNJ12,KRT17,KRT8,LAMA3,LAMC2,LCN10,LGI1,MAP7D2,MASP1,MESP2,MYO10,NAT8B,NLGN4Y,NPNT,PCNAP1,PLAU,PLOD2,PTGS2,PTPRZ1,PXDN,RASGRP2,RPTN,SCARA5,SCN7A,SDS,Sep-01,SLC28A3,SNORA56,SORCS1,SPP1,TCAM1P,TMSB15A,TNFRSF12A,TNFSF18,VCAN,VEGFA,VSIG8,Class
39,118,548,3,571,2644,18,2264,7,5507,75,16255,861,45104,6651,0,7,42,6517,8814,51,1,5446,61,3,6,7,1562,0,1,1,79,3,61,6458,9,10,2247,12244,2911,3642,9,0,770,22,48,2562,3,323,2993,4,1019,5674,1276,5249,750,69,197,16,6,376,140,37,1,15,8373,80,55,537,40,8238,2364,0,HNSCC
1097,46,86,3,311,865,24,2568,4,272,397,8437,315,53430,4303,15,39,21,1801,1834,54,15,6470,30,1,17,37,1007,8,3,14,45,7,62,4848,17,23,1507,2255,1765,1727,44,3,492,20,3,1741,4,397,1334,8,1586,1587,961,1204,718,566,235,170,14,76,952,190,3,23,2576,17,17,199,6,8682,1259,1,HNSCC
6,13,75,3,399,4112,19,7064,6,185,138,37792,2090,39918,7366,3,134,1,8096,1974,16,13,51383,216,0,6,16,1150,21,1,1,182,9,243,111,39,12,25827,4406,5181,6034,12,0,684,271,3,2000,4,1098,7504,1,2340,1773,777,1217,4363,207,48,6,1,25,252,480,26,22,2880,128,66,376,6,4491,4972,6,HNSCC
6,54,155,0,166,4818,16,10080,0,268,1812,4631,651,14793,6442,14,411,18,2814,7706,313,1,40411,16,0,0,23,476,11,27,289,39,6,137,883,30,18,130034,5392,17323,42636,8,3,328,83,16,2194,0,1310,1926,4,2586,4792,1252,1970,792,18,73,2,16,10,90,263,0,13,2911,77,2,430,2,1490,13253,2,HNSCC
28,6,936,0,231,1796,31,2630,10,31,114,63468,889,194269,33965,58,30,18,3683,5409,315,10,32115,82,0,4,62,6733,59,20,329,48,8,1689,549,18,82,21665,2343,4707,6041,21,14,311,80,35,1937,1,875,3450,11,3962,8751,2321,4654,4494,68,1097,150,165,160,77,284,0,70,8286,72,38,577,198,41705,4263,0,HNSCC
29,27,435,8,354,1844,47,4240,5,53,1045,3922,393,21571,2662,1,34,1,7170,2723,437,19,16794,68,4,2,60,1120,4,15,0,19,0,139,5710,17,4,24841,6231,4675,5221,20,1,12,140,3,2120,1,3,822,5,2582,2789,168,3114,323,139,17,33,21,39,363,313,0,30,1747,52,108,299,18,4725,757,2,HNSCC
0,12,222,7,458,2165,69,1995,0,131,317,42563,5,41304,4400,5,11,5,2954,2917,71,14,8526,14,0,2,11,221,0,2,2,39,0,1267,8041,64,18,6239,3871,2623,1851,4,0,248,7,9,1490,21,7,1504,2,2441,2696,90,926,869,97,25,18,7,166,522,234,0,2,8453,88,41,264,96,5972,1478,2,HNSCC
17,19,102,15,680,949,112,4638,0,214,3583,4316,442,5772,1158,0,34,112,2107,2010,68,5,11794,277,5,5,7,256,29,0,0,19,2,12,4495,0,22,13483,7500,2075,2143,19,0,102,73,7,1498,12,267,1444,12,687,2177,667,1922,104,483,333,12,7,39,723,420,2,19,184,121,19,189,36,626,1757,72,HNSCC
154,10,621,2,181,709,9,2427,13,369,599,6074,769,17210,2829,4,14,6,3299,12446,79,20,4436,21,0,9,27,723,29,3,76,10,0,297,2959,66,199,11098,3975,3055,7076,113,1,108,213,13,857,3,0,2424,0,633,2466,265,2232,409,734,2137,63,5,104,722,86,2,22,1278,8,20,838,21,2808,897,76,HNSCC
337,29,907,5,353,3011,1,6139,27,36,57,11554,5,35996,2881,8,12,46,4710,4018,61,12,12136,27,3,54,48,500,9,31,57,58,0,48,3522,15,35,6626,3550,4310,15856,52,3,96,24,113,1054,18,733,2016,0,4592,6804,161,991,520,945,32,35,3,112,705,33,0,46,1425,110,109,393,28,3407,1037,15,HNSCC
461,56,260,1,228,1575,12,5948,0,49,297,169287,155,265944,23580,3,150,4,3375,3345,132,25,17054,19,0,4,21,4707,5,0,104,20,1,211,6059,33,15,15562,2730,3545,6905,13,1,179,6,10,1781,13,391,1414,3,2864,6371,1238,2738,3746,284,25,14,2,194,511,141,1,7,974,105,56,661,10,36473,6531,1,HNSCC
15,10,183,3,557,96,52,2119,1,684,12,63767,4,71847,10687,7,21,13,3446,1228,15,7,16853,59,0,6,12,2709,0,36,37,86,0,634,1748,40,53,13107,3009,4361,7504,1,1,693,3,12,3301,6,169,2367,4,3437,1742,708,747,1764,225,7,12,4,99,356,15,7,3,1293,280,15,770,1,16246,2298,4,HNSCC
35,41,465,2,400,2112,27,3054,8,1228,255,77054,420,115745,12598,75,35,10,7236,3391,19,8,18783,97,0,2,6,2747,7,43,2,25,12,588,534,21,46,26863,8489,9832,13497,6,0,230,50,8,2538,2,435,2489,4,2183,3853,2677,1882,3114,124,203,112,14,300,190,203,0,19,3406,172,141,532,17,18174,4499,14,HNSCC
6,29,517,4,94,113,10,2003,1,70,317,120976,45,335656,42231,10,51,4,14538,12658,16,13,8783,16,29,1,6,13487,3,74,1,25,10,1551,20,100,78,44415,8319,4388,5638,6,1,246,91,49,3012,2,1527,12180,4,3199,3949,270,6420,4966,15,130,58,7,89,28,16,2,15,2619,87,140,1297,3,23616,2832,30,HNSCC
10,461,133,4,33,692,141,2728,0,220,69,12933,618,42944,10374,2,289,8,6664,5994,15,10,9715,183,0,2,6,3657,238,0,557,52,8,306,709,21,4,12457,8124,5187,9480,6,0,13,256,25,1264,4,632,2468,15,694,6374,17148,8530,3025,79,10,8,10,308,137,474,2,8,911,181,98,380,183,6447,31651,8,HNSCC
